"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hoxb8",247.13455312561,0.551207462239416,0.228619048520475,2.4110303398015,0.0159075250838134,0.0489269524240876
"Apol8",74.4832678117843,-1.3604659697637,0.519828228724737,-2.61714523103382,0.00886686064196733,0.0303537733033348
"Them6",78.6957321107216,0.863553379463899,0.240632379350203,3.58868320961549,0.000332352395872063,0.00188901952138202
"Retsat",521.852364138857,-0.906516362352255,0.137841674164694,-6.57650429629244,4.81637089730013e-11,1.39585380066908e-09
"Prelid2",80.9317692631584,3.28061117014969,0.548641035348092,5.97952205319141,2.23793264442768e-09,4.80250095421e-08
"Kdm5d",180.71142027713,-9.25655223597158,1.03614885300049,-8.93361239475042,4.12320059482492e-19,3.81287549742494e-17
"Gpr173",96.9049324214428,-0.575216784589046,0.357953210260941,-1.60696082085623,0.108062962931969,0.221936441696633
"Gm11696",8.81136345327584,1.20706023835059,0.73689106242904,1.63804434589248,0.101412443349135,0.211837316646669
"Ilrun",2276.77344312288,-0.133226410623506,0.091054792409741,-1.46314550939829,0.14342756734651,0.273358357508142
"Elmod3",122.021412215155,-0.100194880634686,0.216454178784653,-0.462891874840486,0.643441871806624,0.775443733095122
"Ier5",1804.139275958,0.0359914562570957,0.10801586331218,0.333205282571095,0.738979330845867,0.845992301219214
"Nbeal2",62.0111026262101,2.08305216768717,0.66368602363008,3.13861086947976,0.00169750705283039,0.00758207389102822
"A930024E05Rik",4.20638031141004,4.1367613751465,1.50682168739212,2.74535561158936,0.00604453595593279,0.022235539753099
"Capg",2169.90653164054,-0.951574228609669,0.33951594711134,-2.80273794708562,0.00506708225944066,0.0192390351806315
"Nfil3",699.674831048719,0.0735916090308532,0.158468016938322,0.464394080601742,0.642365430295803,0.774630103658013
"C330011M18Rik",12.6799072184707,0.0279669059102334,0.676497427504927,0.0413407424376787,0.967024253049391,0.98335128655492
"Hmga2",7917.50527230422,0.260045117518187,0.159452629856774,1.63086126426242,0.102919596803314,0.214221509353973
"Cspp1",595.234163344127,1.48387545728104,0.200817974540781,7.38915657661765,1.47763084987678e-13,6.43021028664645e-12
"Setd3",2409.10415171349,-0.243876785738767,0.0853041854814934,-2.85890761821617,0.00425102564023087,0.0165610910197021
"Tsnax",1936.29687102461,-0.226780735055797,0.0977355311121922,-2.32035097650896,0.0203218985706493,0.0595589254189004
"Ttc26",177.297766304603,1.21026972267598,0.222695766727014,5.4346328197588,5.49093838401299e-08,8.6525369871846e-07
"Pcbp2",9997.32632597614,-0.309465287137132,0.0940462798109788,-3.29056383473241,0.000999868129008425,0.0048196661252889
"Gulp1",758.390329659265,-0.700712347759158,0.354105011781786,-1.97882640585433,0.0478355544013309,0.118043636352723
"Glipr1",509.61682964897,6.81452867242905,0.808440016110682,8.42923227033345,3.47940355615987e-17,2.39737727379329e-15
"Immp2l",18.350882558039,-0.437414186488304,0.552356038605106,-0.79190622699252,0.428415355840268,0.593866493263394
"Usp13",242.093731100098,-1.10277916238754,0.438277891785407,-2.51616424888593,0.0118639878995432,0.0385305485018435
"Gm5620",15.3364127784317,-0.0157496732449674,0.522793744682322,-0.0301259787538922,0.97596658208143,0.986564996600976
"Sipa1",911.21481385696,0.572390385311593,0.241992632861275,2.36532153290684,0.0180144233578149,0.0540983719598474
"Cep162",378.563329375852,0.495341824168467,0.351334579970463,1.40988633743399,0.158573247538672,0.294400418360002
"Acbd4",142.366372506645,0.791235128738411,0.278198218527572,2.84414160854877,0.00445312516948488,0.0172385368720131
"Commd7",594.584307445435,-0.527147166782365,0.134440172571336,-3.92105392830148,8.81625279138281e-05,0.000602734414585114
"Mab21l1",15.9754720299745,-0.293149905225474,0.811594284202912,-0.361202525610914,0.717948054246326,0.830984671482737
"Tatdn2",1611.69221200298,-0.531658351038968,0.158007272204436,-3.36477140337622,0.000766071000203228,0.00384293146997023
"Jmjd6",1188.96592530564,0.0873627371894598,0.133172165398026,0.656013491470602,0.511815443591444,0.668890939572769
"Ide",5033.19261609214,-0.112382914918581,0.181270806340648,-0.619972499638961,0.535275892447854,0.689311767681817
"Gm7536",392.416530880995,-0.0557034589838495,0.231413484161621,-0.24070965089029,0.809780158545192,0.889968193621605
"Inca1",14.8942947262443,0.0236307594888189,0.54001233132474,0.0437596664336326,0.965095977789658,0.982125541326105
"Skap1",8.38857069764495,-0.736157266312555,0.674552288956912,-1.09132720823008,0.275128929656013,0.437295765245446
"Ero1lb",70.933254127544,-0.00387867802355795,0.283203264819228,-0.0136957390870256,0.989072722845596,0.994488744021465
"Ces1g",4.84464808427799,1.62677511393132,1.532290432325,1.06166238437119,0.288388981694966,0.452258789100128
"Fxyd3",7.74775481178899,6.59858859306087,1.66698066246697,3.95840740185648,7.54511815998137e-05,0.000528684849734288
"Zfp607b",22.465560655761,-0.539149828014306,0.457859246396646,-1.17754491638515,0.238978080855053,0.395278407213299
"Ebf1",768.513613343537,0.0386038403838254,0.535702993416071,0.0720620210420264,0.942552550431761,0.968600573831616
"Zfp180",641.113244474862,-0.31312738912194,0.108785547170444,-2.87839145241725,0.00399708810903314,0.0157199413711723
"Cntrl",951.676553457807,0.150081843383666,0.188192886740112,0.797489458732431,0.425166822509439,0.590511575693564
"Npm1",30341.4323728162,0.284097675923965,0.150757556787954,1.88446723319852,0.0595018029744264,0.140328413189352
"Txnl4a",1381.51141859333,-0.135068718027763,0.23265966130452,-0.580542055595004,0.561549134720417,0.710389221278929
"Chd6",1177.21590508894,-0.0974239694728358,0.204012557005197,-0.477539083392569,0.632978296988733,0.768253427378779
"Ado",1141.58255858816,-0.0455671375120717,0.105514463544127,-0.431856789879948,0.665845501562856,0.791001045467165
"Tmem140",104.090764635761,1.57900827714205,0.310511390312398,5.08518632940793,3.67265332146744e-07,4.71872167153074e-06
"Trim12c",130.510466198013,-0.354190871722466,0.320072121750142,-1.10659706876614,0.268468175196192,0.429940602775171
"Dph6",379.038626248638,0.162309697702408,0.145181323216512,1.117979187036,0.263575882542213,0.424962446090083
"Homez",99.9690831510969,0.54711545131565,0.318108119471889,1.71990407608567,0.085449879490702,0.185381001099137
"Ccdc189",24.0735231836585,0.343581328833527,0.607067160183323,0.565969222795335,0.571414702776899,0.719339489691516
"Gsk3a",994.405261588789,-0.00679558534378325,0.102641156369546,-0.066207217300988,0.947212850809094,0.971613794860442
"5730455P16Rik",636.245791210326,-0.320571783632322,0.135938591433849,-2.35821027900176,0.0183632876717559,0.0549413306756495
"Scn3a",34.8759775555814,-8.52150663575999,1.34733240160693,-6.3247247862492,2.53684310937965e-10,6.3788670385403e-09
"Slc44a2",3092.44386150067,0.611759049680589,0.136574920201214,4.47929274847309,7.489076438538e-06,7.05066700737375e-05
"Armc7",93.1491198760438,0.155704266767641,0.259404699049956,0.600236878275113,0.548348379381378,0.700498484102941
"Dmac2",93.7718718422827,1.01201128734783,0.272051189435079,3.71992965533178,0.000199278273442087,0.00122370266994407
"Aak1",2290.87285982553,-0.37525871996727,0.331505839744153,-1.13198223071088,0.257641905038262,0.417839462007362
"Mettl15",105.119106268199,0.0848090322158785,0.226628858186772,0.37421991574429,0.70824070806931,0.823206102093957
"Rbbp4",3552.68374417627,0.000879914829865341,0.100413514256107,0.00876291240660193,0.993008296963773,0.996553235907668
"Gm6139",10.7812542452251,-0.402961972366489,0.685884713746675,-0.587506856896243,0.556863346656938,0.70713444761134
"Rpl15-ps6",6.4786857793628,-0.547313070609784,1.1887383927448,-0.460415070254471,0.645218319580758,0.776471635276296
"Bbof1",12.7581920710846,0.259780709802441,0.650447428260366,0.399387711466905,0.68960754714904,0.809581866092617
"Snrpg",1353.3063263874,0.126582361251357,0.199733697083201,0.633755661162312,0.52624029342366,0.681421793124179
"St6galnac2",33.7001882706003,2.20181887753931,0.542117433799188,4.06151645430187,4.87549811833399e-05,0.000362592600800543
"Arhgap24",831.289234683106,-0.960214741825165,0.183445760966927,-5.23432504934404,1.65588827007206e-07,2.3415659481019e-06
"Rpl38",5524.4573561529,0.0263142112184362,0.266814135125061,0.0986237524713684,0.921437010214429,0.956058065665757
"Bcl2",657.273108854875,0.354690924461598,0.245046092905548,1.44744574482284,0.147772121594601,0.279403408815404
"Cep170",2898.99313187991,0.46822806398784,0.16082470779713,2.91141871420951,0.00359791509518852,0.01435489485608
"Sphk2",329.934564143525,0.00229800814049422,0.129377648100184,0.0177620182020525,0.985828705060432,0.992679151682028
"Apol9a",72.2884204354557,-0.71509838709252,0.333461757288007,-2.14446895772488,0.0319953301311936,0.0853694685505043
"Gm17494",37.3287650334673,0.416662254892988,0.571319092104444,0.729298671532609,0.465818984729773,0.628173990839899
"Uxs1",1309.19138345325,0.675210449200159,0.114249317025487,5.90997361541803,3.42162531496349e-09,7.06231504069409e-08
"Birc2",571.264812834992,-0.0609058302849015,0.136801188107572,-0.445214190954312,0.656164972321078,0.784206687436873
"Yipf1",358.912681380528,0.140637911511169,0.120869483030839,1.16355185762883,0.244605670974758,0.401702788530813
"Mrpl18",1319.94957943148,-0.113014962404989,0.141174878480242,-0.800531678309928,0.423402817254099,0.589067603615125
"Zfp759",51.6424182996336,0.0955643223359837,0.363028875621457,0.263241655839058,0.792364325936713,0.878626772275674
"Nsd2",3924.5115692206,-0.381845392424526,0.201335718531002,-1.89656060638703,0.0578859539593841,0.137393611761753
"Zfp53",240.973183391967,-0.226085386769601,0.172202201989613,-1.31290647946092,0.189214463267915,0.334162394232166
"Fam173a",297.476424261436,0.374415214163995,0.31483860439365,1.18922904923011,0.234349546316349,0.390378907682224
"Las1l",2026.59927459731,-0.210966896901577,0.100747232545274,-2.09402175694278,0.0362580421643532,0.0943259375647138
"Mpp7",306.144029861721,-0.883268107208262,0.217759522569314,-4.05616294886536,4.98854632071912e-05,0.000369825986730105
"Phex",19.9406356289735,0.339453649129279,0.522558005943462,0.64959993965915,0.515950672071595,0.672122580782052
"E2f6",1179.69850202794,0.520751111627989,0.110676268470883,4.70517409759788,2.53649402826306e-06,2.73832258535066e-05
"Fam136a",636.387612290266,-0.100118592764639,0.155542971397858,-0.643671596761186,0.51978841193863,0.675931715996797
"Bloc1s2",1063.239011376,-0.0343981797556387,0.18193848644485,-0.189064889061093,0.850041959622115,0.915079251317182
